,locName,catName,distance
853,Tennents Bar,Pub,226
854,Three Judges,Bar,531
855,Innis & Gunn Beer Kitchen - Ashton Lane,Pub,204
856,Bag O' Nails,Beer Bar,570
857,Travelodge Glasgow Govan,Hotel,552
858,The Amethyst,Pub,608
859,Yorkhill Family House,Lodging,420
860,ByEvo Almar Villa,Vacation Rental,622
861,Fairfields Bar,Bar,742
862,Redmond's,Pub,691
863,The Duchess of Duke Street,Pub,732
864,Tartan Lodge,Hostel,186
865,Station Bar,Bar,159
866,Claremont House Bed & Breakfast,Bed and Breakfast,243
867,Craigpark Masters,Pool Hall,257
868,Craigpark Guest House,Bed and Breakfast,279
869,Onslow Guest House,Bed and Breakfast,336
870,Cathedral House Hotel,Hotel,791
871,Fisher Court Apartment,Residential Building,539
872,Burrell,Bar,741
873,Old Stag Inn,Pub,933
874,Short Stay Rooms,Hotel,719
875,1901 Bar & Bistro,Bar,750
876,1901 Public House,Bar,755
877,Sherbrooke Castle Hotel,Hotel,525
878,Orchid Cottages,Cottage / Cabin,215
879,Glasgow Self Catering Apartments,Cottage / Cabin,579
880,Melfort Holdings,Hotel,591
881,Bellshaugh Property,Hotel,777
882,Rukhsana Foods,Arts and Entertainment,807
883,Bruce Hotel East Kilbride Glasgow,Hotel,855
884,City Short Stays,Residential Building,931
885,Clockwork Beer Co,Bar,877
886,Number 10 Hotel,Hotel,742
887,The Montford House,Bar,170
888,Beechwood Tavern,Pub,507
889,Hoagies,Wine Bar,681
890,Buck’s Bar,Bar,740
891,The Florida Park,Bar,869
892,International Bar,Pub,964
893,Glades House,Bed and Breakfast,622
894,Glasgow City Council,Hotel,742
895,Three Judges,Bar,99
896,Bag O' Nails,Beer Bar,16
897,BrewDog Glasgow,Beer Bar,617
898,Ubiquitous Chip,Bar,645
899,The Sparkle Horse,Bar,62
900,The Butchershop Bar & Grill,Wine Bar,852
901,Hillhead Bookclub,Cocktail Bar,935
902,Tennents Bar,Pub,514
903,Islay Inn,Pub,881
904,Innis & Gunn Beer Kitchen - Ashton Lane,Pub,620
905,Taste Good Wok,Bar,950
906,The Cairn Bar,Wine Bar,198
907,Charlies Kitchen,Bar,836
908,Auchinairn Tavern,Bar,855
909,New Morven Public House,Arts and Entertainment,937
